FirstName,LastName,Role,Nic,Email,Phone,Gender,Status,Profile,Location,DateCreated,DateUpdated
Naveen,Fernando,Admin,78888888,admin@gmail.com,0712255897,Male,Active,image-1696952517306.0733ba760b29378474dea0fdbcb97107.png,Colombo,Tue Oct 10 2023 21:11:58 GMT+0530 (India Standard Time),Tue Oct 10 2023 09:13:45 GMT+0530 (India Standard Time)
Jegere,Silva,Admin,7888888888,ajith333333@gmail.com,0712253339,Male,InActive,image-1697028906810.0733ba760b29378474dea0fdbcb97107.png,Colombo,Wed Oct 11 2023 18:25:07 GMT+0530 (India Standard Time),Wed Oct 11 2023 06:36:46 GMT+0530 (India Standard Time)
Unknowny,werwerwe,Intern,200917801754v,Crtttireres@gmail.com,0778923469,Male,InActive,image-1697032164546.camry interior.jpg,fghjghjghj,Wed Oct 11 2023 19:19:24 GMT+0530 (India Standard Time),Sat Oct 14 2023 10:18:29 GMT+0530 (India Standard Time)
jghjhgjghj,ghjghjghjgh,Admin,200917801754v,adjhgjghmin@gmail.com,9999999999,Male,Active,image-1697032357422.3wheel 2.jpg,ghjghjghjg,Wed Oct 11 2023 19:22:37 GMT+0530 (India Standard Time),-
hgfhfgh,fghfghgfhgf,Admin,hfghfghfh,hfghgfhfgh@gmail.com,0778993458,Male,InActive,image-1697032723556.3wheel 2.jpg,yjugtjhhh,Wed Oct 11 2023 19:28:43 GMT+0530 (India Standard Time),-
Naveen,qw,Admin,7888888888,ajitherre@gmail.com,0712255834,Male,Active,image-1697033815570.b3a06746cf373916b612ebc880c14a12.jpg,Colombo,Wed Oct 11 2023 19:46:55 GMT+0530 (India Standard Time),-
dfgdffdgjghj,exhamsghjhgj,Admin,gfthfghgfh,Crttghftis@gmail.com,0778989789,Male,Active,image-1697034145322.2018 camry main.jpg,fdgfdg,Wed Oct 11 2023 19:52:25 GMT+0530 (India Standard Time),-
dfgdffdggfdhgdf,hfghgfhfgh,Intern,fghfghfghfgh,fghfghfg@gmail.com,0778923461,Male,Active,image-1697191388007.b3a06746cf373916b612ebc880c14a12.jpg,jhgjghjghjghj,Wed Oct 11 2023 19:54:52 GMT+0530 (India Standard Time),Fri Oct 13 2023 03:33:08 GMT+0530 (India Standard Time)
superstarty,ghjhgjhgj,Data Analyst,gfgfdgdfgdfg,hgj@gmail.com,0778923455,Male,Active,image-1697092449120.0733ba760b29378474dea0fdbcb97107.png,jhjhjhjhjhj,Wed Oct 11 2023 19:56:46 GMT+0530 (India Standard Time),Fri Oct 13 2023 02:57:12 GMT+0530 (India Standard Time)
Naveen,qwppp,Seo Specialist,1234567890,ajith0000@gmail.com,0785435662,Male,Active,image-1697035880779.b3a06746cf373916b612ebc880c14a12.jpg,matara,Wed Oct 11 2023 20:21:21 GMT+0530 (India Standard Time),Fri Oct 13 2023 03:15:25 GMT+0530 (India Standard Time)
RWWQ,Silva,Seo Specialist,7888888888,ajith34@gmail.com,0712255892,Female,Active,image-1697191591925.832a460b522c84fa9650c11face5927e.jpg,Matara,Fri Oct 13 2023 15:36:32 GMT+0530 (India Standard Time),Sat Oct 14 2023 02:04:56 GMT+0530 (India Standard Time)
